t	y
1.829	9.133572
1.830	9.139754
1.831	9.145933
1.832	9.152110
1.833	9.158285
1.834	9.164457
1.835	9.170628
1.836	9.176796
1.837	9.182962
1.838	9.189126
1.839	9.195288
1.840	9.201447
1.841	9.207605
1.842	9.213760
1.843	9.219913
1.844	9.226064
1.845	9.232213
1.846	9.238360
1.847	9.244504
1.848	9.250647
1.849	9.256787
1.850	9.262925
1.851	9.269061
1.852	9.275195
1.853	9.281327
1.854	9.287457
1.855	9.293584
1.856	9.299709
1.857	9.305833
1.858	9.311954
1.859	9.318073
1.860	9.324190
1.861	9.330304
1.862	9.336417
1.863	9.342528
1.864	9.348636
1.865	9.354742
1.866	9.360846
1.867	9.366949
1.868	9.373049
1.869	9.379146
1.870	9.385242
1.871	9.391336
1.872	9.397428
1.873	9.403517
1.874	9.409605
1.875	9.415690
1.876	9.421773
1.877	9.427854
1.878	9.433933
1.879	9.440010
1.880	9.446085
1.881	9.452158
1.882	9.458229
1.883	9.464298
1.884	9.470365
1.885	9.476429
1.886	9.482492
1.887	9.488552
1.888	9.494611
1.889	9.500667
1.890	9.506721
1.891	9.512773
1.892	9.518824
1.893	9.524872
1.894	9.530918
1.895	9.536962
1.896	9.543004
1.897	9.549044
1.898	9.555082
1.899	9.561118
1.900	9.567152
1.901	9.573184
1.902	9.579213
1.903	9.585241
1.904	9.591267
1.905	9.597291
1.906	9.603312
1.907	9.609332
1.908	9.615350
1.909	9.621365
1.910	9.627379
1.911	9.633390
1.912	9.639400
1.913	9.645408
1.914	9.651413
1.915	9.657417
1.916	9.663418
1.917	9.669418
1.918	9.675416
1.919	9.681411
1.920	9.687405
1.921	9.693396
1.922	9.699386
1.923	9.705374
1.924	9.711359
1.925	9.717343
1.926	9.723325
1.927	9.729304
1.928	9.735282
1.929	9.741258
1.930	9.747231
1.931	9.753203
1.932	9.759173
1.933	9.765141
1.934	9.771107
1.935	9.777071
1.936	9.783033
1.937	9.788993
1.938	9.794951
1.939	9.800907
1.940	9.806861
1.941	9.812813
1.942	9.818763
1.943	9.824711
1.944	9.830658
1.945	9.836602
1.946	9.842545
1.947	9.848485
1.948	9.854424
1.949	9.860360
1.950	9.866295
1.951	9.872228
1.952	9.878158
1.953	9.884087
1.954	9.890014
1.955	9.895939
1.956	9.901862
1.957	9.907784
1.958	9.913703
1.959	9.919620
1.960	9.925536
1.961	9.931449
1.962	9.937361
1.963	9.943270
1.964	9.949178
1.965	9.955084
1.966	9.960988
1.967	9.966890
1.968	9.972790
1.969	9.978688
1.970	9.984585
1.971	9.990479
1.972	9.996372
1.973	10.002263
1.974	10.008151
1.975	10.014038
1.976	10.019923
1.977	10.025806
1.978	10.031688
1.979	10.037567
1.980	10.043445
1.981	10.049320
1.982	10.055194
1.983	10.061066
1.984	10.066936
1.985	10.072804
1.986	10.078670
1.987	10.084535
1.988	10.090397
1.989	10.096258
1.990	10.102117
1.991	10.107973
1.992	10.113829
1.993	10.119682
1.994	10.125533
1.995	10.131383
1.996	10.137230
1.997	10.143076
1.998	10.148920
1.999	10.154762
2.000	10.160603
2.001	10.166441
2.002	10.172278
2.003	10.178113
2.004	10.183946
2.005	10.189777
2.006	10.195606
2.007	10.201434
2.008	10.207259
2.009	10.213083
2.010	10.218905
2.011	10.224725
2.012	10.230544
2.013	10.236360
2.014	10.242175
2.015	10.247988
2.016	10.253799
2.017	10.259608
2.018	10.265416
2.019	10.271221
2.020	10.277025
2.021	10.282827
2.022	10.288628
2.023	10.294426
2.024	10.300223
2.025	10.306018
2.026	10.311811
2.027	10.317602
2.028	10.323392
2.029	10.329179
2.030	10.334965
2.031	10.340749
2.032	10.346532
2.033	10.352312
2.034	10.358091
2.035	10.363868
2.036	10.369643
2.037	10.375417
2.038	10.381189
2.039	10.386958
2.040	10.392727
2.041	10.398493
2.042	10.404258
2.043	10.410020
2.044	10.415782
2.045	10.421541
2.046	10.427298
2.047	10.433054
2.048	10.438808
2.049	10.444561
2.050	10.450311
2.051	10.456060
2.052	10.461807
2.053	10.467552
2.054	10.473296
2.055	10.479038
2.056	10.484778
2.057	10.490516
2.058	10.496253
2.059	10.501988
2.060	10.507721
2.061	10.513452
2.062	10.519182
2.063	10.524910
2.064	10.530636
2.065	10.536361
2.066	10.542084
2.067	10.547805
2.068	10.553524
2.069	10.559242
2.070	10.564957
2.071	10.570672
2.072	10.576384
2.073	10.582095
2.074	10.587804
2.075	10.593511
2.076	10.599217
2.077	10.604921
2.078	10.610623
2.079	10.616324
2.080	10.622022
2.081	10.627720
2.082	10.633415
2.083	10.639109
2.084	10.644801
2.085	10.650491
2.086	10.656180
2.087	10.661867
2.088	10.667552
2.089	10.673236
2.090	10.678918
2.091	10.684598
2.092	10.690276
2.093	10.695953
2.094	10.701628
2.095	10.707302
2.096	10.712974
2.097	10.718644
2.098	10.724313
2.099	10.729979
2.100	10.735645
2.101	10.741308
2.102	10.746970
2.103	10.752630
2.104	10.758289
2.105	10.763946
2.106	10.769601
2.107	10.775254
2.108	10.780906
2.109	10.786557
2.110	10.792205
2.111	10.797852
2.112	10.803497
2.113	10.809141
2.114	10.814783
2.115	10.820424
2.116	10.826062
2.117	10.831699
2.118	10.837335
2.119	10.842969
2.120	10.848601
2.121	10.854232
2.122	10.859861
2.123	10.865488
2.124	10.871114
2.125	10.876738
2.126	10.882360
2.127	10.887981
2.128	10.893600
2.129	10.899218
2.130	10.904834
2.131	10.910448
2.132	10.916061
2.133	10.921672
2.134	10.927281
2.135	10.932889
2.136	10.938496
2.137	10.944100
2.138	10.949704
2.139	10.955305
2.140	10.960905
2.141	10.966503
2.142	10.972100
2.143	10.977695
2.144	10.983288
2.145	10.988880
2.146	10.994471
2.147	11.000059
2.148	11.005647
2.149	11.011232
2.150	11.016816
2.151	11.022399
2.152	11.027979
2.153	11.033559
2.154	11.039136
2.155	11.044712
2.156	11.050287
2.157	11.055860
2.158	11.061431
2.159	11.067001
2.160	11.072569
2.161	11.078136
2.162	11.083701
2.163	11.089264
2.164	11.094826
2.165	11.100387
2.166	11.105946
2.167	11.111503
2.168	11.117059
2.169	11.122613
2.170	11.128165
2.171	11.133716
2.172	11.139266
2.173	11.144814
2.174	11.150360
2.175	11.155905
2.176	11.161448
2.177	11.166990
2.178	11.172530
2.179	11.178069
2.180	11.183606
2.181	11.189142
2.182	11.194676
2.183	11.200209
2.184	11.205740
2.185	11.211269
2.186	11.216797
2.187	11.222324
2.188	11.227848
2.189	11.233372
2.190	11.238894
2.191	11.244414
2.192	11.249933
2.193	11.255450
2.194	11.260966
2.195	11.266480
2.196	11.271993
2.197	11.277504
2.198	11.283014
2.199	11.288522
2.200	11.294029
2.201	11.299534
2.202	11.305038
2.203	11.310540
2.204	11.316041
2.205	11.321540
2.206	11.327038
2.207	11.332534
2.208	11.338029
2.209	11.343522
2.210	11.349014
2.211	11.354504
2.212	11.359993
2.213	11.365480
2.214	11.370966
2.215	11.376450
2.216	11.381933
2.217	11.387414
2.218	11.392894
2.219	11.398372
2.220	11.403849
2.221	11.409325
2.222	11.414799
2.223	11.420271
2.224	11.425742
2.225	11.431211
2.226	11.436680
2.227	11.442146
2.228	11.447611
2.229	11.453075
2.230	11.458537
2.231	11.463998
2.232	11.469457
2.233	11.474915
2.234	11.480371
2.235	11.485826
2.236	11.491280
2.237	11.496732
2.238	11.502182
2.239	11.507631
2.240	11.513079
2.241	11.518525
2.242	11.523970
2.243	11.529413
2.244	11.534855
2.245	11.540295
2.246	11.545734
2.247	11.551172
2.248	11.556608
2.249	11.562043
2.250	11.567476
2.251	11.572908
2.252	11.578338
2.253	11.583767
2.254	11.589195
2.255	11.594621
2.256	11.600045
2.257	11.605469
2.258	11.610890
2.259	11.616311
2.260	11.621730
2.261	11.627147
2.262	11.632564
2.263	11.637978
2.264	11.643392
2.265	11.648804
2.266	11.654214
2.267	11.659623
2.268	11.665031
2.269	11.670437
